Year	PIL	DPIL	CO2	Diff CO2	DCO2
1960	17030465539.3906	0	46851820	0	
1961	17275940449.3837	8.60000000000014	49123428	2271608	
1962	19231747851.5332	6.59999999999992	53586084	4462656	
1963	23287712878.2002	0.600000000000065	55481404	1895320	
1964	20963733694.9749	3.39999999999985	56566084	1084680	
1965	22465522884.0988	2.40000000000001	56204020	-362064	
1966	28283323733.1114	6.7000000000001	64065332	7861312	
1967	31086389194.961	4.2	65912536	1847204	
1968	33930457425.2613	9.79999999999998	77068260	11155720	
1969	37171640818.5863	9.49999999999993	83899910	6831656	
1970	42327664793.6934	10.4	93247170	9347256	
1971	48869830901.7878	11.3429219931908	102074600	8827432	
1972	58434858374.8696	11.9403481162508	113714104	11639504	
1973	83592275862.9982	13.9687217796782	131702070	17987968	
1974	109794519727.538	8.15393868457201	142616240	10914168	
1975	129203555238.827	5.16664908406321	149878460	7262224	
1976	153168949208.207	10.2571295347867	154094370	4215904	
1977	176344101401.941	4.93432806978961	161797820	7703456	
1978	200278646123.581	4.96989768924738	176474290	14676464	
1979	221338204480.222	6.7595601220408	187111920	10637632	
1980	237393489892.637	9.19999999999976	185471120	-1640800	
1981	258015174748.648	-4.24999999999956	170613970	-14857152	
1982	271314113768.417	0.829999999999529	170811520	197552	
1983	189656506321.431	-2.92999999999996	165348850	-5462672	
1984	188339974086.58	5.39999999999988	167076400	1727552	
1985	176123719326.593	7.85000000000042	179589100	12512704	
1986	215878631802.78	7.48999999999982	196613300	17024192	
1987	237517984427.806	3.52999999999983	205332590	8719296	
1988	258816125587.505	-0.059999999999917	207069980	1737392	
1989	347028139590.227	3.16000000000032	211444880	4374896	
1990	390725626002.866	-4.35000000000022	218658000	7213120	
1991	342609231342.783	1.03218958549303	229394000	10736000	
1992	328187960871.951	-0.54407204977727	233601000	4206992	
1993	368295778245.09	4.9246900037071	244306000	10705008	
1994	525369851353.742	5.85287036219013	254002000	9696000	
1995	769333330411.575	4.22379363350413	268678000	14676016	
1996	850426432991.742	2.20886405039022	289311000	20632992	
1997	883206452805.504	3.39484598630671	306949000	17637984	
1998	863711007313.877	0.338097901207306	317359000	10410016	
1999	599642075029.835	0.467937566477133	327256000	9896992	
2000	655448188237.371	4.38794944745618	340183000	12927008	
2001	559991261406.197	1.38989640095637	346165980	5982976	
2002	509788814956.855	3.05346185909312	347765020	1599040	
2003	558229210852.965	1.14082899824888	344645000	-3120032	
2004	669293772178.729	5.75996463670954	361434000	16788992	
2005	891630177209.99	3.20213206130431	364371000	2937024	
2006	1107640289661.2	3.96198871122617	368871000	4500000	
2007	1397084349956.35	6.06987060678338	390573000	21701984	
2008	1695824565928.67	5.09419544658736	412638000	22065024	
2009	1667019783635.09	-0.125812002161169	389775000	-22863008	
2010	2208871646202.82	7.52822581815364	440269020	50494016	
2011	2616201578192.25	3.97442307944702	462580000	22310976	
2012	2465188674415.03	1.92117598576537	498309000	35728990	
2013	2472806919901.67	3.00482266944432	532418020	34109024	
2014	2455993625159.37	0.503955740242247	557901000	25482976	
2015	1802214373741.32	-3.54576339269425	529353020	-28547968	
2016	1795700168991.49	-3.27591690782192	492748000	-36605024	
2017	2063507864886.88	1.32286905404399	497412700	4664704	
2018	1916947014067.55	1.783666761634	477102140	-20310560	
2019	1873274432754.47	1.22077782360842	475104580	-1997568	
2020	1448559976218.19	-3.87867633397198	442306000	-32798592	
2021	1608981456325.08	4.61942162067312	488881100	46575104	
