Year	PIL	DPIL	CO2	Diff CO2	DCO2
1960	59716467625.3148	0	798799940	0	
1961	50056868957.6732	-27.2700000039227	570630200	-228169730	
1962	47209359005.6057	-5.57999999020275	459618080	-111012130	
1963	50706799902.5104	10.2999999964787	456779460	-2838624	
1964	59708343488.5043	18.1799999937238	460637100	3857632	
1965	70436266146.7219	16.9500000039607	500286370	39649280	
1966	76720285969.6157	10.6499999984073	549459260	49172896	
1967	72881631326.6715	-5.77000000405035	460225900	-89233380	
1968	70846535055.6503	-4.09999998651148	495506560	35280670	
1969	79705906247.4612	16.9399999960691	607683300	112176770	
1970	92602973434.0726	19.2999999967145	807952640	200269310	
1971	99800958648.1436	7.05999999854134	909209700	101257090	
1972	113687586299.051	3.81000000021395	968645570	59435840	
1973	138544284708.957	7.76000000082682	1008292600	39647040	
1974	144182133387.722	2.31000000295589	1028099840	19807232	
1975	163431551779.761	8.71999999750163	1183215000	155115140	
1976	153940455341.506	-1.5700000016835	1226421200	43206270	
1977	174938098826.569	7.57000000137049	1340831100	114409860	
1978	149540752829.268	11.3259779879134	1492777900	151946750	
1979	178280594413.043	7.5913246800003	1525661200	32883328	
1980	191149211575	7.83414501593799	1494495900	-31165312	
1981	195866382432.54	5.11276109058912	1476487800	-18008064	
1982	205089699858.779	9.01711391382203	1606585000	130097150	
1983	230686747153.257	10.7702025065715	1694216800	87631870	
1984	259946510957.143	15.1915400236134	1844828000	150611200	
1985	309488028132.653	13.4306775204064	1998083000	153254910	
1986	300758100107.246	8.94996176438008	2104213400	106130430	
1987	272972974764.574	11.6574277931357	2257738500	153525120	
1988	312353631207.819	11.222594982521	2425893600	168155140	
1989	347768051311.741	4.20633435547815	2463654400	37760770	
1990	360857912565.966	3.92025136776569	2484854800	21200384	
1991	383373318083.624	9.26278608462174	2606096100	121241340	
1992	426915712711.146	14.2245295924457	2730787600	124691460	
1993	444731282436.762	13.8837293020436	2921651000	190863360	
1994	564324670005.917	13.0368066326902	3100002000	178351100	
1995	734547898220.508	10.9539543420185	3357909000	257906940	
1996	863746717503.789	9.92255675288459	3503233500	145324540	
1997	961603952951.82	9.23677989169124	3510169000	6935552	
1998	1029043097554.08	7.84595178733933	3360455400	-149713660	
1999	1093997267271.06	7.66165150045002	3552842000	192386560	
2000	1211346869605.24	8.49009340601468	3644464000	91622140	
2001	1339395718865.3	8.33573347821324	3723730700	79266560	
2002	1470550015081.55	9.13363078988934	4112459000	388728320	
2003	1660287965662.68	10.0380304808371	4827446000	714986750	
2004	1955347004963.27	10.1136213778964	5223755000	396309000	
2005	2285965892360.54	11.3945918098662	5876555300	652800500	
2006	2752131773355.16	12.7209556651723	6488804000	612248600	
2007	3550342737010.84	14.2308609332879	6978611700	489807870	
2008	4594307032660.79	9.65067891934387	7496832000	518220300	
2009	5101703073086.04	9.39872563258297	7886532600	389700600	
2010	6087163874512.21	10.6358710645426	8616653000	730120200	
2011	7551500124203.36	9.55083217886425	9528556000	911902700	
2012	8532229986993.65	7.86373644864966	9779281000	250725380	
2013	9570406235659.64	7.76615009763002	9956309000	177028100	
2014	10475682920594.5	7.42576365632598	9998621000	42311680	
2015	11061553079876.4	7.04132887877194	9866905000	-131716100	
2016	11233276536737.2	6.84876220493844	9764980000	-101924860	
2017	12310409370892.8	6.94720079330668	10011107000	246127620	
2018	13894817549374.2	6.74977383254181	10353877000	342769660	
2019	14279937500606.5	5.9505007536746	10740996000	387119100	
2020	14687673892882	2.23970185692298	10956213000	215217150	
2021	17734062645371.4	8.1097925807738	11472369000	516155400	
