Year	PIL	DPIL	CO2	Diff CO2	DCO2
1960	62225478000.8822	0	296140580	0	
1961	67461644222.0352	4.9801118491384	315707200	19566624	
1962	75607529809.9288	6.84346998523586	332911420	17204224	
1963	84759195105.8693	6.23367995209179	338036200	5124768	
1964	94007851047.3678	6.65209950760072	368881730	30845536	
1965	101537248148.427	4.86150769580638	363497540	-5384192	
1966	110045852177.928	5.25183704566086	380389800	16892256	
1967	118972977486.207	4.92114891528463	404666620	24276832	
1968	129785441507.456	4.49130888579006	418254240	13587616	
1969	141903068680.309	7.10947534485236	443401400	25147168	
1970	148456359985.827	6.10867981285152	460449150	17047744	
1971	165966615366.402	5.31671589688149	493421630	32972480	
1972	203494148244.473	4.51137401861739	513987300	20565664	
1973	264429876252.21	6.34458067469789	538685200	24697888	
1974	285552373158.756	4.30091914308284	520686050	-17999136	
1975	360832186018.051	-0.959884746223096	482201440	-38484610	
1976	372319038514.067	4.35675890276836	523484260	41282816	
1977	410279486493.715	3.46431200428788	506997660	-16486592	
1978	506707848837.209	3.97854372235838	528802780	21805120	
1979	613953129818.07	3.54998915669242	532165100	3362304	
1980	701288419745.421	1.57874525990584	511112160	-21052928	
1981	615552202776.101	1.06901983853727	459371870	-51740290	
1982	584877732308.614	2.50539661637579	440436220	-18935648	
1983	559869179791.72	1.24086486211559	423313730	-17122496	
1984	530683779929.445	1.51372160344316	412001800	-11311936	
1985	553138414367.061	1.62278136715794	405222050	-6779744	
1986	771470783218.108	2.33727634979969	390393100	-14828960	
1987	934173305685.911	2.56190033450119	387772640	-2620448	
1988	1018847043277.17	4.74314219356484	385571070	-2201568	
1989	1025211803413.53	4.34386106267613	399678370	14107296	
1990	1269179616913.63	2.92393508123074	393422900	-6255456	
1991	1269276828275.78	1.04817584704435	418367140	24944224	
1992	1401465923172.24	1.59934267687127	406648320	-11718816	
1993	1322815612694	-0.628666351905437	388080130	-18568192	
1994	1393982750472.59	2.35834218111899	381908900	-6171232	
1995	1601094756209.75	2.10669525325974	386261860	4352960	
1996	1605675086549.56	1.41299367250002	401373100	15111232	
1997	1452884917959.09	2.33629652937944	393945150	-7427936	
1998	1503108739159.44	3.58865942535427	413634370	19689216	
1999	1493151737698.46	3.42137379882455	412183140	-1451232	
2000	1365639660792.16	3.92366922704063	406828930	-5354208	
2001	1377657339291.34	1.98372141863292	411613950	4785024	
2002	1501409382971.38	1.13553148214601	407790500	-3823456	
2003	1844544792036.86	0.823160756684118	412534600	4744096	
2004	2119633181634.37	2.82975292869891	413779940	1245344	
2005	2196945232435.8	1.66321998030079	416165820	2385888	
2006	2320536221304.7	2.44932360111885	406462370	-9703456	
2007	2660591246211.77	2.42473624337305	396660500	-9801856	
2008	2930303780828.12	0.254945960124005	390777570	-5882944	
2009	2700887366932.03	-2.87331382849631	371045220	-19732352	
2010	2645187882116.67	1.94943762312663	376645400	5600192	
2011	2865157541994.17	2.19270063266654	354602460	-22042944	
2012	2683671716967.19	0.313134751077172	356912580	2310112	
2013	2811876903329.03	0.576326674771792	358623360	1710784	
2014	2855964488590.19	0.956183052371557	327107260	-31516096	
2015	2439188643162.5	1.1129123405747	331580000	4472736	
2016	2472964344587.17	1.09546440372048	334439780	2859776	
2017	2595151045197.65	2.29141999417021	337457540	3017760	
2018	2790956878746.66	1.86506607081999	322526820	-14930720	
2019	2728870246705.88	1.84297181445896	316386780	-6140032	
2020	2639008701648.26	-7.78458649167871	280031520	-36355264	
2021	2957879759263.52	6.81658913649873	305963700	25932192	
