Year	PIL	DPIL	CO2	Diff CO2	DCO2
1970	215838448137.658	0	1026022340	0	
1971	249985055484.303	3.13269973811248	1037236800	11214464	
1972	299801542047.476	4.30034133420232	1041480960	4244160	
1973	398374021953.897	4.77748689217385	1085738400	44257410	
1974	445303484241.554	0.890068740587211	1062726900	-23011456	
1975	490636517211.225	-0.866738894227723	1002447000	-60279936	
1976	519754453161.411	4.94925837665457	1090840400	88393470	
1977	600498238019.035	3.34721812001672	1052608500	-38231936	
1978	740469983446.933	3.00849285673846	1079132500	26524032	
1979	881345176608.686	4.15036334066737	1117888300	38755710	
1980	950290856466.538	1.40882863572145	1100066000	-17822208	
1981	800472055387.278	0.529240556536067	1048523300	-51542720	
1982	776576439106.956	-0.394840774795966	1015733900	-32789440	
1983	770684323247.798	1.57241016952116	1011604900	-4128960	
1984	725111123634.115	2.82294780997955	1033244600	21639680	
1985	732534887058.198	2.32793526226367	1044117900	10873280	
1986	1046259374943.71	2.28733922127036	1047471940	3354048	
1987	1298176105549.51	1.40215162742055	1032442900	-15029056	
1988	1401233225303.49	3.70723565949591	1029024200	-3418688	
1989	1398967436804.33	3.89655169214447	1008792400	-20231808	
1990	1771671206875.68	5.25500608278011	1051979140	43186750	
1991	1868945197407.19	5.10826152190214	1013824100	-38155010	
1992	2131571696931.75	1.923076559054	965541800	-48282304	
1993	2071323790370.28	-0.976849818160517	955819970	-9721856	
1994	2205074123177.05	2.39189207051331	939492300	-16327680	
1995	2585792275146.72	1.54414649556445	938613570	-878720	
1996	2497244606186.64	0.80582289149001	958700350	20086784	
1997	2211989623279.95	1.79216082094591	930870140	-27830208	
1998	2238990774702.68	2.01393278519326	922812200	-8057920	
1999	2194945278872.59	1.88726115399444	895352100	-27460096	
2000	1947981991011.77	2.91250296366708	899351800	3999680	
2001	1945790973803.15	1.68146848097079	916144450	16792640	
2002	2078484517474.51	-0.197973834771361	899449800	-16694656	
2003	2501640388482.35	-0.700116686114356	900627700	1177920	
2004	2814353869359.08	1.17508813160987	886637100	-13990592	
2005	2846864211175.1	0.731707163554191	866302800	-20334336	
2006	2994703642023.53	3.816441912988	877938750	11635968	
2007	3425578382921.58	2.97645513131597	851223000	-26715776	
2008	3745264093617.19	0.95987913356484	854508160	3285184	
2009	3411261212652.34	-5.69383633640285	789899970	-64608190	
2010	3399667820000.01	4.17988249873657	832540900	42640960	
2011	3749314991050.59	3.92519270463411	808911500	-23629440	
2012	3527143188785.16	0.418497594217598	813693060	4781568	
2013	3733804649549.03	0.437591303144671	831207600	17514560	
2014	3889093051023.52	2.20954343134872	792255400	-38952190	
2015	3357585719351.56	1.49193152760772	795556600	3301184	
2016	3469853463945.53	2.22999986782015	800339840	4783232	
2017	3690849152517.65	2.68023111405891	785616450	-14723392	
2018	3974443355019.6	0.981232606004738	754408450	-31208000	
2019	3888226035921.56	1.05660389828289	707149950	-47258496	
2020	3889668895299.62	-3.69678870538043	639381060	-67768900	
2021	4259934911821.64	2.62698726672524	674753540	35372480	
