Year	PIL	DPIL	CO2	Diff CO2	DCO2
1960	37029883876.1839	0	111325176	0	
1961	39232435784.0358	3.72274253311053	120404400	9079224	
1962	42161481858.0819	2.93112773548363	132581680	12177280	
1963	48421923459.1235	5.99435326188559	142444290	9862608	
1964	56480289940.9899	7.45295012250209	139488400	-2955888	
1965	59554854575.8085	-2.63577011020728	153702100	14213696	
1966	45865462034.2857	-0.0553287704537979	159373570	5671472	
1967	50134942204	7.82596303082235	159556000	182432	
1968	53085455870.6667	3.38792917634143	174069500	14513504	
1969	58447995017.3333	6.53970029928357	177413540	3344032	
1970	62422483054.6667	5.15722973718955	181722820	4309280	
1971	67350988021.3932	1.64293037527582	191963860	10241040	
1972	71463193831.0092	-0.553301305344547	203036160	11072304	
1973	85515269585.4	3.29552113471652	209095230	6059072	
1974	99525899116.054	1.18533625466961	215853380	6758144	
1975	98472796456.884	9.14991201570659	234209330	18355952	
1976	102717164466.397	1.66310363813034	244749580	10540256	
1977	121487322475.912	7.25476458760367	258961970	14212384	
1978	137300295313.3	5.71253208869331	263149780	4187808	
1979	152991653793.77	-5.23818270446218	276284960	13135184	
1980	186325345086.661	6.7358215288198	291711360	15426400	
1981	193490610029.789	6.00620362601497	314966460	23255104	
1982	200715145363.148	3.47573323969961	325380320	10413856	
1983	218262273406.969	7.28889290305703	352199170	26818848	
1984	212158234167.312	3.82073785610604	361559740	9360576	
1985	232511877841.698	5.25429922311382	397592480	36032736	
1986	248985994040.59	4.77656416847516	426309760	28717280	
1987	279033584092.223	3.96535563481719	455343460	29033696	
1988	296588994812.354	9.62778291607844	491692600	36349150	
1989	296042354984.876	5.94734333181324	540651500	48958910	
1990	320979026420.035	5.53345456125301	577996540	37345024	
1991	270105341879.226	1.05683143336988	615365500	37368960	
1992	288208430383.964	5.48239602167047	655447550	40082050	
1993	279296022987.919	4.75077621965234	677299800	21852224	
1994	327275583539.559	6.65892406734025	716268600	38968830	
1995	360281952716.797	7.57449184032379	761449200	45180610	
1996	392897054348.071	7.5495222488198	825200830	63751616	
1997	415867753863.874	4.0498208490926	858935100	33734270	
1998	421351477504.743	6.18441582090618	876952060	18016960	
1999	458820417337.807	8.84575556105509	950950850	73998780	
2000	468394937262.37	3.84099115681285	978103800	27152960	
2001	485441014538.638	4.82396626390641	991731700	13627904	
2002	514937948870.08	3.8039753213758	1022175200	30443520	
2003	607699285433.872	7.86038147553259	1058725300	36550080	
2004	709148514804.659	7.92293661286503	1124517800	65792450	
2005	820381595512.902	7.92343062149763	1184926500	60408704	
2006	940259888792.141	8.06073257303272	1258643300	73716860	
2007	1216735441524.86	7.66081506504928	1356953100	98309760	
2008	1198895582137.51	3.08669805953289	1461518300	104565250	
2009	1341886602798.69	7.86188883303498	1611416200	149897860	
2010	1675615335600.56	8.49758470158106	1676495000	65078784	
2011	1823049927772.05	5.24131500140663	1778472600	101977600	
2012	1827637859506.25	5.45638875297365	1962594300	184121730	
2013	1856722121394.42	6.38610640094825	2037415600	74821250	
2014	2039127446299.3	7.41022760508854	2187343000	149927550	
2015	2103587813812.75	7.99625378571471	2270766000	83422980	
2016	2294797980509.01	8.25630550179086	2383816000	113049860	
2017	2651472946375.05	6.79538341897911	2434868000	51052030	
2018	2702929718960.46	6.45385134497769	2600446500	165578500	
2019	2831552222519.99	3.73791851955785	2626459400	26012928	
2020	2667687951796.5	-6.59608052232176	2445012000	-181447420	
2021	3176295065497.24	8.68122873083119	2709683700	264671740	
