Year	PIL	DPIL	CO2	Diff CO2	DCO2
1970	113395315985.13	0	296364540	0	
1971	124672365792.759	1.81810793366802	311049180	14684640	
1972	145260039840.637	3.69048582478699	328237470	17188288	
1973	175492055795.417	7.12586230436492	353349120	25111648	
1974	199564489431.378	5.50014110132227	358252930	4903808	
1975	227695851126.928	-2.09016291535852	341052450	-17200480	
1976	224717278436.846	7.12538513712093	365795460	24743008	
1977	257596313364.055	2.56050084476698	354417630	-11377824	
1978	315058323066.393	3.24013975184891	371273820	16856192	
1979	393677161500.816	5.95915942625737	385255520	13981696	
1980	477256775943.929	3.4300164144226	386433020	1177504	
1981	430702851303.015	0.844227607248143	375300130	-11132896	
1982	427272645669.291	0.413585694627969	366879040	-8421088	
1983	443042373788.883	1.16920349453939	358409100	-8469952	
1984	437887689001.543	3.22585231527985	364601060	6191968	
1985	452217492140.757	2.79808576720868	368982400	4381344	
1986	640386352773.087	2.85997186384608	363187620	-5794784	
1987	805713128174.485	3.19196062848015	380098560	16910944	
1988	891608957155.608	4.19437730753005	385962240	5863680	
1989	928661332204.347	3.38838345408922	404741950	18779712	
1990	1181222653522.95	1.98577494287171	439549820	34807870	
1991	1246220156079.29	1.53844755776618	439094100	-455712	
1992	1320161644933.23	0.834275453554895	439315300	221184	
1993	1064958075550.63	-0.852805763831867	431604830	-7710464	
1994	1099216688280.5	2.15102363802566	425796800	-5808032	
1995	1174662070605.02	2.88683675924553	449826100	24029312	
1996	1312426527795.21	1.26678480191715	444029380	-5796736	
1997	1241879604365.62	1.83021223388438	449754140	5724768	
1998	1270052525928.4	1.81061516197623	461945950	12191808	
1999	1252446659833.79	1.6257275993546	466424930	4478976	
2000	1146676894209.73	3.78695514323979	470487170	4062240	
2001	1168023426056.38	1.95137155605238	470568100	80928	
2002	1276769338449.3	0.253942998968455	477998980	7430880	
2003	1577621707050.51	0.138626890776507	495961630	17962656	
2004	1806542968545.56	1.42359415817907	501563230	5601600	
2005	1858217147203.73	0.817848973650598	502255420	692192	
2006	1949551719389.64	1.79063968081796	496846750	-5408672	
2007	2213102482751.46	1.48707298036786	490566270	-6280480	
2008	2408655348718.59	-0.962012840579291	478868670	-11697600	
2009	2199928804118.63	-5.2809372082931	424694430	-54174240	
2010	2136099955236.67	1.71329583916922	436117440	11423008	
2011	2294994296589.5	0.707333347034435	424256260	-11861184	
2012	2086957656821.6	-2.98090576823772	403696900	-20559360	
2013	2141924094298.56	-1.84106545088248	369679700	-34017184	
2014	2162009615996.54	-0.00454754236383792	349390340	-20289376	
2015	1836637711060.55	0.778304350716581	361163170	11772832	
2016	1877071687633.78	1.29346273155907	358182560	-2980608	
2017	1961796197354.36	1.66785904106857	352735400	-5447168	
2018	2091932426266.98	0.925810941012742	349005020	-3730368	
2019	2011302198827.45	0.483198316597154	339233200	-9771808	
2020	1896755301518.14	-9.03995341122885	302278600	-36954624	
2021	2107702842669.73	6.73727712298924	328687330	26408736	
